,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.9999994,8.2818116e-07,6.660122e-07,0.9999993,6.169718e-07,7.7234006e-07,7.3627797e-07,9.796149e-07,0.9999993,0.99999917,0.99999917,0.99999905,0.9999993,0.99999917,9.890924e-07,8.440124e-07,0.99999905,7.59253e-07,0.9999994,0.99999917,8.751074e-07,0.99999917,0.99999917,0.9999994,8.8132856e-07,0.99999917,7.9773804e-07,0.99999917,9.614308e-07,0.9999993,0.9999993,7.613492e-07,7.5229195e-07,0.99999917,0.99999917,8.842111e-07,9.88194e-07,9.367925e-07,0.99999917,0.99999917,7.5937754e-07,8.2148307e-07,7.5001327e-07,9.2467144e-07,0.99999917,0.99999917,0.9999993,7.004099e-07,8.4335494e-07,0.99999917,8.9911504e-07,8.302142e-07,0.9999993,8.00903e-07,0.99999905,9.3002717e-07,0.9999993,7.675635e-07,8.557083e-07,8.407603e-07,0.9999993,0.99999917,0.9999993,9.3208456e-07
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.9999994,8.2818116e-07,6.660122e-07,0.9999993,6.169718e-07,7.7234006e-07,7.3627797e-07,9.796149e-07,0.9999993,0.99999917,0.99999917,0.99999905,0.9999993,0.99999917,9.890924e-07,8.440124e-07,0.99999905,7.59253e-07,0.9999994,0.99999917,8.751074e-07,0.99999917,0.99999917,0.9999994,8.8132856e-07,0.99999917,7.9773804e-07,0.99999917,9.614308e-07,0.9999993,0.9999993,7.613492e-07,7.5229195e-07,0.99999917,0.99999917,8.842111e-07,9.88194e-07,9.367925e-07,0.99999917,0.99999917,7.5937754e-07,8.2148307e-07,7.5001327e-07,9.2467144e-07,0.99999917,0.99999917,0.9999993,7.004099e-07,8.4335494e-07,0.99999917,8.9911504e-07,8.302142e-07,0.9999993,8.00903e-07,0.99999905,9.3002717e-07,0.9999993,7.675635e-07,8.557083e-07,8.407603e-07,0.9999993,0.99999917,0.9999993,9.3208456e-07
3,3.4487522e-05,0.99997103,0.9999682,3.1113246e-05,0.9999672,0.99997747,3.6558882e-05,2.8629416e-05,0.99996734,2.676969e-05,2.8793593e-05,0.99996805,0.9999666,2.941136e-05,0.99997926,3.2171833e-05,0.9999641,0.9999757,2.6937016e-05,2.7886206e-05,3.116697e-05,3.287355e-05,0.99997294,3.2298147e-05,3.0348912e-05,2.8774759e-05,3.4192235e-05,0.9999634,2.8742068e-05,3.1819844e-05,2.9715333e-05,0.99997103,0.9999782,0.9999727,0.99997354,2.9275616e-05,3.406449e-05,2.6233713e-05,0.999967,0.9999727,3.3130207e-05,0.9999782,3.2035197e-05,0.9999721,0.99997747,3.2532153e-05,3.026117e-05,0.99997437,2.9113495e-05,2.761706e-05,3.3638982e-05,0.9999771,0.9999759,2.9166544e-05,2.8645802e-05,3.4177858e-05,3.1403168e-05,0.99997675,0.9999769,0.99997115,0.99996686,3.311337e-05,0.99996877,0.999974
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,3.4487522e-05,0.99997103,0.9999682,3.1113246e-05,0.9999672,0.99997747,3.6558882e-05,2.8629416e-05,0.99996734,2.676969e-05,2.8793593e-05,0.99996805,0.9999666,2.941136e-05,0.99997926,3.2171833e-05,0.9999641,0.9999757,2.6937016e-05,2.7886206e-05,3.116697e-05,3.287355e-05,0.99997294,3.2298147e-05,3.0348912e-05,2.8774759e-05,3.4192235e-05,0.9999634,2.8742068e-05,3.1819844e-05,2.9715333e-05,0.99997103,0.9999782,0.9999727,0.99997354,2.9275616e-05,3.406449e-05,2.6233713e-05,0.999967,0.9999727,3.3130207e-05,0.9999782,3.2035197e-05,0.9999721,0.99997747,3.2532153e-05,3.026117e-05,0.99997437,2.9113495e-05,2.761706e-05,3.3638982e-05,0.9999771,0.9999759,2.9166544e-05,2.8645802e-05,3.4177858e-05,3.1403168e-05,0.99997675,0.9999769,0.99997115,0.99996686,3.311337e-05,0.99996877,0.999974
5,0.003700642,0.9968443,0.99183977,0.0036184504,0.9989008,0.0003744169,0.9925371,0.99397236,0.0026441314,0.0060113324,0.005252656,0.996682,0.0019548603,0.004731595,0.0045940927,0.0029265217,0.9952095,0.0024224068,0.9945623,0.0065837717,0.0039914423,0.0028960442,0.00047823778,0.006451763,0.0027603013,0.9930044,0.9934895,0.99491656,0.004277776,0.0018185136,0.0036961476,0.001740726,0.0052926587,0.99651515,0.99797505,0.0052643768,0.0045413175,0.9948559,0.99781644,0.99933237,0.00387004,0.0044559143,0.005434142,0.9971846,0.99918085,0.99315923,0.0046716435,0.0064130668,0.003251437,0.00360888,0.0026250964,0.0003389137,0.0016442648,0.99289715,0.99427843,0.0024785367,0.9941037,0.0006128107,0.0004513801,0.00048438556,0.0022851175,0.0050464123,0.99258983,0.0056011826
