,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.99999833,2.3166685e-06,1.8595287e-06,0.9999981,1.7206411e-06,2.1549108e-06,2.0510756e-06,2.7392828e-06,0.999998,0.99999774,0.9999975,0.9999974,0.99999785,0.99999774,2.763778e-06,2.357632e-06,0.9999975,2.1129572e-06,0.9999982,0.99999774,2.448173e-06,0.9999976,0.99999774,0.9999982,2.4662334e-06,0.9999975,2.2326915e-06,0.99999774,2.6826726e-06,0.9999981,0.9999981,2.1264202e-06,2.100697e-06,0.99999785,0.99999774,2.475088e-06,2.7665812e-06,2.621381e-06,0.99999774,0.99999774,2.1222022e-06,2.3002806e-06,2.0920102e-06,2.5843633e-06,0.9999976,0.99999774,0.999998,1.9559989e-06,2.3566474e-06,0.9999976,2.5153863e-06,2.3224422e-06,0.999998,2.233682e-06,0.9999975,2.6001803e-06,0.99999785,2.1471424e-06,2.3923578e-06,2.3520222e-06,0.999998,0.99999774,0.99999785,2.6086002e-06
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.99999833,2.3166685e-06,1.8595287e-06,0.9999981,1.7206411e-06,2.1549108e-06,2.0510756e-06,2.7392828e-06,0.999998,0.99999774,0.9999975,0.9999974,0.99999785,0.99999774,2.763778e-06,2.357632e-06,0.9999975,2.1129572e-06,0.9999982,0.99999774,2.448173e-06,0.9999976,0.99999774,0.9999982,2.4662334e-06,0.9999975,2.2326915e-06,0.99999774,2.6826726e-06,0.9999981,0.9999981,2.1264202e-06,2.100697e-06,0.99999785,0.99999774,2.475088e-06,2.7665812e-06,2.621381e-06,0.99999774,0.99999774,2.1222022e-06,2.3002806e-06,2.0920102e-06,2.5843633e-06,0.9999976,0.99999774,0.999998,1.9559989e-06,2.3566474e-06,0.9999976,2.5153863e-06,2.3224422e-06,0.999998,2.233682e-06,0.9999975,2.6001803e-06,0.99999785,2.1471424e-06,2.3923578e-06,2.3520222e-06,0.999998,0.99999774,0.99999785,2.6086002e-06
3,9.126509e-05,0.99992716,0.9999262,8.3268715e-05,0.99990976,0.9999385,9.1763904e-05,7.510018e-05,0.9999181,6.410027e-05,7.462949e-05,0.99992144,0.99991703,7.668922e-05,0.9999484,8.870151e-05,0.99991417,0.9999335,6.832839e-05,6.7506895e-05,7.863703e-05,8.023401e-05,0.99992716,8.0626705e-05,8.356478e-05,7.2990006e-05,8.640097e-05,0.9999126,7.542465e-05,8.6872875e-05,7.824321e-05,0.9999213,0.9999453,0.99992657,0.9999342,7.579583e-05,8.704867e-05,6.6244036e-05,0.9999188,0.99992955,8.052451e-05,0.99994624,8.423813e-05,0.99993384,0.999938,7.922072e-05,7.388062e-05,0.99993694,7.424279e-05,6.7742985e-05,8.987144e-05,0.9999379,0.99993527,7.298715e-05,7.215904e-05,9.4868206e-05,7.975739e-05,0.99993646,0.9999368,0.99992275,0.9999143,8.2843086e-05,0.9999223,0.9999335
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,9.126509e-05,0.99992716,0.9999262,8.3268715e-05,0.99990976,0.9999385,9.1763904e-05,7.510018e-05,0.9999181,6.410027e-05,7.462949e-05,0.99992144,0.99991703,7.668922e-05,0.9999484,8.870151e-05,0.99991417,0.9999335,6.832839e-05,6.7506895e-05,7.863703e-05,8.023401e-05,0.99992716,8.0626705e-05,8.356478e-05,7.2990006e-05,8.640097e-05,0.9999126,7.542465e-05,8.6872875e-05,7.824321e-05,0.9999213,0.9999453,0.99992657,0.9999342,7.579583e-05,8.704867e-05,6.6244036e-05,0.9999188,0.99992955,8.052451e-05,0.99994624,8.423813e-05,0.99993384,0.999938,7.922072e-05,7.388062e-05,0.99993694,7.424279e-05,6.7742985e-05,8.987144e-05,0.9999379,0.99993527,7.298715e-05,7.215904e-05,9.4868206e-05,7.975739e-05,0.99993646,0.9999368,0.99992275,0.9999143,8.2843086e-05,0.9999223,0.9999335
5,0.0036609177,0.99690646,0.9921725,0.0036486192,0.998425,0.00042852492,0.9927638,0.993982,0.002738628,0.00580582,0.005357398,0.9966723,0.0020803101,0.004810378,0.0044910233,0.0031239397,0.9952863,0.0024416326,0.99453306,0.00650203,0.003830807,0.0028527703,0.0005305904,0.0063202227,0.0031050593,0.9930796,0.99360704,0.9950324,0.0042863945,0.0019679572,0.003690629,0.002015557,0.0051390333,0.99621177,0.99768186,0.005245195,0.004461657,0.99482757,0.99760664,0.9992754,0.0036687457,0.004361879,0.0054129832,0.99721354,0.99895513,0.9933221,0.004473911,0.0061353114,0.0031130812,0.0034333984,0.0026020368,0.0004198764,0.0016361474,0.9930239,0.994296,0.0026086222,0.99413764,0.00077583815,0.0005243724,0.0006173451,0.00234908,0.004908854,0.9925774,0.005394416
