,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.99999964,4.978981e-07,4.007361e-07,0.99999964,3.716152e-07,4.6489032e-07,4.4346527e-07,5.889882e-07,0.9999995,0.9999995,0.9999995,0.9999994,0.9999995,0.9999995,5.950547e-07,5.078737e-07,0.9999994,4.57837e-07,0.99999964,0.9999995,5.262058e-07,0.9999995,0.9999995,0.99999964,5.298415e-07,0.9999995,4.79375e-07,0.9999995,5.786503e-07,0.9999995,0.99999964,4.580239e-07,4.527642e-07,0.9999995,0.9999995,5.3150853e-07,5.939684e-07,5.6305726e-07,0.9999995,0.9999995,4.5694148e-07,4.938746e-07,4.5143966e-07,5.561006e-07,0.9999995,0.9999995,0.9999995,4.214097e-07,5.0716807e-07,0.9999995,5.404983e-07,4.991404e-07,0.9999995,4.821217e-07,0.9999994,5.5937176e-07,0.9999995,4.6150046e-07,5.1443067e-07,5.0529053e-07,0.9999995,0.9999995,0.9999995,5.6005877e-07
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.99999964,4.978981e-07,4.007361e-07,0.99999964,3.716152e-07,4.6489032e-07,4.4346527e-07,5.889882e-07,0.9999995,0.9999995,0.9999995,0.9999994,0.9999995,0.9999995,5.950547e-07,5.078737e-07,0.9999994,4.57837e-07,0.99999964,0.9999995,5.262058e-07,0.9999995,0.9999995,0.99999964,5.298415e-07,0.9999995,4.79375e-07,0.9999995,5.786503e-07,0.9999995,0.99999964,4.580239e-07,4.527642e-07,0.9999995,0.9999995,5.3150853e-07,5.939684e-07,5.6305726e-07,0.9999995,0.9999995,4.5694148e-07,4.938746e-07,4.5143966e-07,5.561006e-07,0.9999995,0.9999995,0.9999995,4.214097e-07,5.0716807e-07,0.9999995,5.404983e-07,4.991404e-07,0.9999995,4.821217e-07,0.9999994,5.5937176e-07,0.9999995,4.6150046e-07,5.1443067e-07,5.0529053e-07,0.9999995,0.9999995,0.9999995,5.6005877e-07
3,2.254252e-05,0.9999809,0.99997866,2.0201309e-05,0.9999795,0.9999857,2.423151e-05,1.8793531e-05,0.9999784,1.7852644e-05,1.8938852e-05,0.9999788,0.99997795,1.9317758e-05,0.9999862,2.0192141e-05,0.99997616,0.999985,1.7814276e-05,1.8592202e-05,2.066717e-05,2.190704e-05,0.9999826,2.1422156e-05,1.820199e-05,1.905347e-05,2.2607925e-05,0.99997556,1.8845345e-05,1.9197814e-05,1.9450616e-05,0.9999815,0.9999856,0.99998224,0.9999825,1.9273539e-05,2.2497592e-05,1.7346938e-05,0.99997807,0.9999821,2.204618e-05,0.99998546,2.1007425e-05,0.9999814,0.9999864,2.1665906e-05,2.012954e-05,0.99998295,1.9228873e-05,1.8379245e-05,2.1871387e-05,0.99998546,0.9999844,1.9353993e-05,1.8956216e-05,2.0763695e-05,2.0775737e-05,0.99998534,0.99998534,0.9999814,0.9999783,2.1960903e-05,0.99997926,0.99998283
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,2.254252e-05,0.9999809,0.99997866,2.0201309e-05,0.9999795,0.9999857,2.423151e-05,1.8793531e-05,0.9999784,1.7852644e-05,1.8938852e-05,0.9999788,0.99997795,1.9317758e-05,0.9999862,2.0192141e-05,0.99997616,0.999985,1.7814276e-05,1.8592202e-05,2.066717e-05,2.190704e-05,0.9999826,2.1422156e-05,1.820199e-05,1.905347e-05,2.2607925e-05,0.99997556,1.8845345e-05,1.9197814e-05,1.9450616e-05,0.9999815,0.9999856,0.99998224,0.9999825,1.9273539e-05,2.2497592e-05,1.7346938e-05,0.99997807,0.9999821,2.204618e-05,0.99998546,2.1007425e-05,0.9999814,0.9999864,2.1665906e-05,2.012954e-05,0.99998295,1.9228873e-05,1.8379245e-05,2.1871387e-05,0.99998546,0.9999844,1.9353993e-05,1.8956216e-05,2.0763695e-05,2.0775737e-05,0.99998534,0.99998534,0.9999814,0.9999783,2.1960903e-05,0.99997926,0.99998283
5,0.0037081284,0.9968581,0.99170965,0.0035908343,0.9990916,0.00035762275,0.9924353,0.993972,0.0026006831,0.0060950518,0.0051933085,0.9966941,0.0018888831,0.004679861,0.00464202,0.002829135,0.9951864,0.0024160922,0.9945799,0.0066046314,0.0040529557,0.0029272772,0.00045926584,0.0065028216,0.0026009292,0.99297136,0.9934389,0.9948773,0.0042616976,0.001744242,0.0036871117,0.0016769399,0.005363006,0.99665534,0.99793005,0.0052594724,0.0045663347,0.9948723,0.9978853,0.99935097,0.0039512445,0.004500317,0.0054307873,0.9971806,0.9992692,0.99308527,0.004749683,0.0065385643,0.003305255,0.003679561,0.0026332967,0.00031674266,0.0016486988,0.9928421,0.99427277,0.0024103147,0.9940896,0.0005591279,0.00042652426,0.00044670267,0.0022583457,0.0050960793,0.99261355,0.0056955502
