,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.9999999,1.8176644e-07,1.465658e-07,0.9999999,1.3627654e-07,1.7014209e-07,1.6250996e-07,2.1500489e-07,0.9999999,0.9999999,0.99999976,0.99999976,0.9999999,0.9999999,2.1755028e-07,1.8580506e-07,0.99999976,1.682359e-07,0.9999999,0.99999976,1.9221555e-07,0.99999976,0.9999999,0.9999999,1.9346943e-07,0.99999976,1.7482725e-07,0.9999999,2.1166024e-07,0.9999999,0.9999999,1.674452e-07,1.6572483e-07,0.9999999,0.9999999,1.940145e-07,2.1675278e-07,2.0541147e-07,0.9999999,0.9999999,1.6720278e-07,1.8040784e-07,1.6520598e-07,2.0312622e-07,0.99999976,0.9999999,0.9999999,1.5412745e-07,1.8522441e-07,0.99999976,1.9728e-07,1.8225766e-07,0.9999999,1.7645807e-07,0.99999976,2.0441773e-07,0.9999999,1.6855806e-07,1.8773011e-07,1.8427245e-07,0.9999999,0.9999999,0.9999999,2.0413896e-07
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.9999999,1.8176644e-07,1.465658e-07,0.9999999,1.3627654e-07,1.7014209e-07,1.6250996e-07,2.1500489e-07,0.9999999,0.9999999,0.99999976,0.99999976,0.9999999,0.9999999,2.1755028e-07,1.8580506e-07,0.99999976,1.682359e-07,0.9999999,0.99999976,1.9221555e-07,0.99999976,0.9999999,0.9999999,1.9346943e-07,0.99999976,1.7482725e-07,0.9999999,2.1166024e-07,0.9999999,0.9999999,1.674452e-07,1.6572483e-07,0.9999999,0.9999999,1.940145e-07,2.1675278e-07,2.0541147e-07,0.9999999,0.9999999,1.6720278e-07,1.8040784e-07,1.6520598e-07,2.0312622e-07,0.99999976,0.9999999,0.9999999,1.5412745e-07,1.8522441e-07,0.99999976,1.9728e-07,1.8225766e-07,0.9999999,1.7645807e-07,0.99999976,2.0441773e-07,0.9999999,1.6855806e-07,1.8773011e-07,1.8427245e-07,0.9999999,0.9999999,0.9999999,2.0413896e-07
3,1.00883335e-05,0.9999914,0.99999046,9.031937e-06,0.99999094,0.9999937,1.0947671e-05,8.456225e-06,0.99999034,8.0418795e-06,8.473873e-06,0.99999034,0.9999902,8.667695e-06,0.9999938,8.995833e-06,0.9999893,0.9999933,8.028997e-06,8.389243e-06,9.353996e-06,9.907806e-06,0.99999225,9.664072e-06,7.3841397e-06,8.605699e-06,1.0161727e-05,0.99998903,8.432984e-06,8.175939e-06,8.685792e-06,0.9999918,0.99999344,0.999992,0.99999213,8.654124e-06,1.0103122e-05,7.799299e-06,0.9999901,0.999992,9.911256e-06,0.99999344,9.464293e-06,0.99999166,0.9999944,9.815733e-06,9.06503e-06,0.9999924,8.618676e-06,8.29986e-06,9.776151e-06,0.99999356,0.99999297,8.7601275e-06,8.5286865e-06,8.981963e-06,9.368092e-06,0.99999344,0.99999356,0.9999918,0.99999034,9.909016e-06,0.9999907,0.9999924
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,1.00883335e-05,0.9999914,0.99999046,9.031937e-06,0.99999094,0.9999937,1.0947671e-05,8.456225e-06,0.99999034,8.0418795e-06,8.473873e-06,0.99999034,0.9999902,8.667695e-06,0.9999938,8.995833e-06,0.9999893,0.9999933,8.028997e-06,8.389243e-06,9.353996e-06,9.907806e-06,0.99999225,9.664072e-06,7.3841397e-06,8.605699e-06,1.0161727e-05,0.99998903,8.432984e-06,8.175939e-06,8.685792e-06,0.9999918,0.99999344,0.999992,0.99999213,8.654124e-06,1.0103122e-05,7.799299e-06,0.9999901,0.999992,9.911256e-06,0.99999344,9.464293e-06,0.99999166,0.9999944,9.815733e-06,9.06503e-06,0.9999924,8.618676e-06,8.29986e-06,9.776151e-06,0.99999356,0.99999297,8.7601275e-06,8.5286865e-06,8.981963e-06,9.368092e-06,0.99999344,0.99999356,0.9999918,0.99999034,9.909016e-06,0.9999907,0.9999924
5,0.0037103205,0.99692696,0.9914562,0.0035226382,0.99938524,0.000332734,0.99228704,0.99400073,0.0025190567,0.0062385714,0.005063788,0.9967182,0.0017415431,0.004560322,0.004716325,0.0026419156,0.9951467,0.0024012078,0.99463886,0.0066220206,0.0041574026,0.0029943758,0.0004300964,0.006584598,0.0023076204,0.99294513,0.99337864,0.99480754,0.0042156638,0.001601687,0.003655575,0.0016047783,0.0054813484,0.99691975,0.9976872,0.0052334745,0.004601661,0.99492896,0.9976306,0.99938154,0.004094973,0.0045700576,0.0054096035,0.9971789,0.9993967,0.992987,0.00488695,0.0067515764,0.003395429,0.003802368,0.0026442697,0.00028658073,0.0016546894,0.9927779,0.9942947,0.0022745132,0.99409324,0.00047416813,0.0003899106,0.00039456267,0.0022108383,0.005176436,0.9926842,0.005858719
