,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.99999905,1.3824545e-06,1.1107775e-06,0.9999989,1.0282031e-06,1.287641e-06,1.226655e-06,1.6349941e-06,0.9999988,0.9999987,0.99999857,0.99999845,0.9999987,0.9999987,1.6500442e-06,1.4077863e-06,0.99999845,1.2639056e-06,0.9999989,0.99999857,1.4607184e-06,0.99999857,0.9999987,0.9999989,1.4713469e-06,0.99999857,1.332108e-06,0.9999987,1.6029578e-06,0.9999988,0.9999989,1.2699857e-06,1.2545962e-06,0.9999987,0.9999987,1.4763592e-06,1.6500915e-06,1.5640567e-06,0.9999987,0.9999987,1.2667837e-06,1.3716804e-06,1.2503452e-06,1.5429115e-06,0.99999857,0.9999987,0.9999988,1.1682587e-06,1.4071957e-06,0.99999857,1.5009691e-06,1.3858482e-06,0.9999988,1.3350636e-06,0.99999845,1.5519399e-06,0.9999987,1.2812346e-06,1.4282002e-06,1.4036639e-06,0.9999988,0.9999987,0.9999987,1.5564532e-06
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.99999905,1.3824545e-06,1.1107775e-06,0.9999989,1.0282031e-06,1.287641e-06,1.226655e-06,1.6349941e-06,0.9999988,0.9999987,0.99999857,0.99999845,0.9999987,0.9999987,1.6500442e-06,1.4077863e-06,0.99999845,1.2639056e-06,0.9999989,0.99999857,1.4607184e-06,0.99999857,0.9999987,0.9999989,1.4713469e-06,0.99999857,1.332108e-06,0.9999987,1.6029578e-06,0.9999988,0.9999989,1.2699857e-06,1.2545962e-06,0.9999987,0.9999987,1.4763592e-06,1.6500915e-06,1.5640567e-06,0.9999987,0.9999987,1.2667837e-06,1.3716804e-06,1.2503452e-06,1.5429115e-06,0.99999857,0.9999987,0.9999988,1.1682587e-06,1.4071957e-06,0.99999857,1.5009691e-06,1.3858482e-06,0.9999988,1.3350636e-06,0.99999845,1.5519399e-06,0.9999987,1.2812346e-06,1.4282002e-06,1.4036639e-06,0.9999988,0.9999987,0.9999987,1.5564532e-06
3,5.5457716e-05,0.9999548,0.99995184,5.0428425e-05,0.99994564,0.9999628,5.694928e-05,4.572783e-05,0.9999491,4.0880037e-05,4.5662287e-05,0.99995065,0.99994814,4.682763e-05,0.9999678,5.3374082e-05,0.99994516,0.9999596,4.2192092e-05,4.273948e-05,4.868393e-05,5.0538816e-05,0.9999559,5.0186012e-05,5.0674284e-05,4.506144e-05,5.34513e-05,0.9999441,4.5927634e-05,5.3005533e-05,4.7605998e-05,0.99995244,0.999966,0.99995565,0.999959,4.6408186e-05,5.358338e-05,4.099958e-05,0.9999491,0.99995685,5.087974e-05,0.99996626,5.1299707e-05,0.99995756,0.99996245,5.0001236e-05,4.655859e-05,0.99996054,4.574161e-05,4.256588e-05,5.446235e-05,0.99996245,0.99996066,4.536697e-05,4.4708308e-05,5.7141315e-05,4.9214344e-05,0.9999615,0.999962,0.99995315,0.9999474,5.1508137e-05,0.9999516,0.9999591
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,5.5457716e-05,0.9999548,0.99995184,5.0428425e-05,0.99994564,0.9999628,5.694928e-05,4.572783e-05,0.9999491,4.0880037e-05,4.5662287e-05,0.99995065,0.99994814,4.682763e-05,0.9999678,5.3374082e-05,0.99994516,0.9999596,4.2192092e-05,4.273948e-05,4.868393e-05,5.0538816e-05,0.9999559,5.0186012e-05,5.0674284e-05,4.506144e-05,5.34513e-05,0.9999441,4.5927634e-05,5.3005533e-05,4.7605998e-05,0.99995244,0.999966,0.99995565,0.999959,4.6408186e-05,5.358338e-05,4.099958e-05,0.9999491,0.99995685,5.087974e-05,0.99996626,5.1299707e-05,0.99995756,0.99996245,5.0001236e-05,4.655859e-05,0.99996054,4.574161e-05,4.256588e-05,5.446235e-05,0.99996245,0.99996066,4.536697e-05,4.4708308e-05,5.7141315e-05,4.9214344e-05,0.9999615,0.999962,0.99995315,0.9999474,5.1508137e-05,0.9999516,0.9999591
5,0.0036833233,0.99685764,0.9919946,0.003636778,0.99868184,0.0003961305,0.9926495,0.9939792,0.0026879855,0.00591268,0.0053041563,0.9966756,0.0020162505,0.0047729,0.004540179,0.0030231304,0.99524397,0.0024287098,0.99455017,0.006546059,0.0039163376,0.0028662207,0.00050117716,0.006388236,0.002926224,0.9930441,0.99354845,0.9949693,0.004284417,0.001892379,0.0036960507,0.0018474734,0.005214879,0.9963708,0.99781275,0.00525741,0.004504587,0.9948443,0.9976835,0.9993087,0.0037747752,0.004406547,0.005425886,0.99719656,0.99907887,0.9932417,0.004578217,0.0062756836,0.003186513,0.0035256005,0.0026127433,0.00037059304,0.0016386955,0.99296147,0.99429035,0.0025436892,0.99412316,0.0006813386,0.00048271165,0.00053704163,0.0023131357,0.004982312,0.9925817,0.005498114
