,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.9999999,1.1041496e-07,8.9149914e-08,0.9999999,8.301796e-08,1.0351043e-07,9.8958715e-08,1.3057769e-07,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,1.3223462e-07,1.1301743e-07,0.9999999,1.0255633e-07,0.9999999,0.9999999,1.16803655e-07,0.9999999,0.9999999,0.9999999,1.1755484e-07,0.9999999,1.0616579e-07,0.9999999,1.2868378e-07,0.9999999,0.9999999,1.0181453e-07,1.0084585e-07,0.9999999,0.9999999,1.1784533e-07,1.3161512e-07,1.2471318e-07,0.9999999,0.9999999,1.0170817e-07,1.09640794e-07,1.00527444e-07,1.2341701e-07,0.9999999,0.9999999,0.9999999,9.376249e-08,1.12552016e-07,0.9999999,1.1983042e-07,1.10737226e-07,0.9999999,1.0736112e-07,0.9999999,1.2424107e-07,0.9999999,1.02439806e-07,1.1401925e-07,1.1186512e-07,0.9999999,0.9999999,0.9999999,1.2387795e-07
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.9999999,1.1041496e-07,8.9149914e-08,0.9999999,8.301796e-08,1.0351043e-07,9.8958715e-08,1.3057769e-07,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,1.3223462e-07,1.1301743e-07,0.9999999,1.0255633e-07,0.9999999,0.9999999,1.16803655e-07,0.9999999,0.9999999,0.9999999,1.1755484e-07,0.9999999,1.0616579e-07,0.9999999,1.2868378e-07,0.9999999,0.9999999,1.0181453e-07,1.0084585e-07,0.9999999,0.9999999,1.1784533e-07,1.3161512e-07,1.2471318e-07,0.9999999,0.9999999,1.0170817e-07,1.09640794e-07,1.00527444e-07,1.2341701e-07,0.9999999,0.9999999,0.9999999,9.376249e-08,1.12552016e-07,0.9999999,1.1983042e-07,1.10737226e-07,0.9999999,1.0736112e-07,0.9999999,1.2424107e-07,0.9999999,1.02439806e-07,1.1401925e-07,1.1186512e-07,0.9999999,0.9999999,0.9999999,1.2387795e-07
3,6.842078e-06,0.99999416,0.99999356,6.1169944e-06,0.9999939,0.9999957,7.453041e-06,5.766061e-06,0.99999344,5.4430257e-06,5.752352e-06,0.99999344,0.9999933,5.8958553e-06,0.9999958,6.0585307e-06,0.9999927,0.99999547,5.469548e-06,5.681281e-06,6.3808916e-06,6.7252254e-06,0.99999475,6.571642e-06,5.0815947e-06,5.8631103e-06,6.9039593e-06,0.9999925,5.727336e-06,5.5298215e-06,5.885137e-06,0.9999944,0.9999956,0.99999464,0.99999464,5.8855917e-06,6.863619e-06,5.304358e-06,0.9999933,0.99999464,6.7016135e-06,0.9999956,6.4516203e-06,0.9999944,0.9999962,6.6763905e-06,6.1397113e-06,0.9999949,5.845351e-06,5.632754e-06,6.616372e-06,0.9999957,0.99999523,5.9713475e-06,5.7960356e-06,6.0863917e-06,6.3771927e-06,0.9999956,0.9999957,0.9999944,0.99999344,6.7424226e-06,0.9999937,0.99999475
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,6.842078e-06,0.99999416,0.99999356,6.1169944e-06,0.9999939,0.9999957,7.453041e-06,5.766061e-06,0.99999344,5.4430257e-06,5.752352e-06,0.99999344,0.9999933,5.8958553e-06,0.9999958,6.0585307e-06,0.9999927,0.99999547,5.469548e-06,5.681281e-06,6.3808916e-06,6.7252254e-06,0.99999475,6.571642e-06,5.0815947e-06,5.8631103e-06,6.9039593e-06,0.9999925,5.727336e-06,5.5298215e-06,5.885137e-06,0.9999944,0.9999956,0.99999464,0.99999464,5.8855917e-06,6.863619e-06,5.304358e-06,0.9999933,0.99999464,6.7016135e-06,0.9999956,6.4516203e-06,0.9999944,0.9999962,6.6763905e-06,6.1397113e-06,0.9999949,5.845351e-06,5.632754e-06,6.616372e-06,0.9999957,0.99999523,5.9713475e-06,5.7960356e-06,6.0863917e-06,6.3771927e-06,0.9999956,0.9999957,0.9999944,0.99999344,6.7424226e-06,0.9999937,0.99999475
5,0.0037103945,0.9969683,0.99131763,0.0034863683,0.99947137,0.00032432514,0.9922404,0.9940257,0.002484045,0.006305706,0.0050003077,0.9967264,0.0016529763,0.004499762,0.0047453777,0.0025556316,0.9951224,0.002394405,0.9946761,0.0066280174,0.0042049685,0.003030345,0.00041972692,0.0066220327,0.002176257,0.9929495,0.99336773,0.9947679,0.0041906107,0.0015353076,0.0036378582,0.001583113,0.0055326927,0.997038,0.9975714,0.0052184225,0.0046179416,0.994965,0.99749005,0.99939525,0.004162748,0.004597465,0.0053977612,0.9971762,0.9994413,0.9929612,0.0049516167,0.0068424456,0.003434769,0.0038590827,0.0026489997,0.0002770453,0.0016571301,0.992766,0.99431914,0.0022100338,0.9941083,0.00044049078,0.00037704187,0.00037801178,0.002193429,0.005213049,0.9927186,0.0059297816
