,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.99999976,3.003276e-07,2.4192536e-07,0.99999976,2.246259e-07,2.807556e-07,2.6797525e-07,3.5527538e-07,0.99999976,0.99999976,0.99999964,0.99999964,0.99999976,0.99999976,3.5919663e-07,3.066517e-07,0.99999964,2.7704522e-07,0.99999976,0.99999976,3.1748942e-07,0.99999964,0.99999976,0.99999976,3.1961508e-07,0.99999964,2.8900217e-07,0.99999976,3.4939262e-07,0.99999976,0.99999976,2.7645717e-07,2.7343472e-07,0.99999976,0.99999976,3.2058094e-07,3.5821654e-07,3.3952867e-07,0.99999976,0.99999976,2.7592353e-07,2.9797113e-07,2.7261115e-07,3.3553434e-07,0.99999964,0.99999976,0.99999976,2.543976e-07,3.0597897e-07,0.99999964,3.2599164e-07,3.0110107e-07,0.99999976,2.9117027e-07,0.99999964,3.3757595e-07,0.99999976,2.784228e-07,3.102484e-07,3.046431e-07,0.99999976,0.99999976,0.99999976,3.3758306e-07
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.99999976,3.003276e-07,2.4192536e-07,0.99999976,2.246259e-07,2.807556e-07,2.6797525e-07,3.5527538e-07,0.99999976,0.99999976,0.99999964,0.99999964,0.99999976,0.99999976,3.5919663e-07,3.066517e-07,0.99999964,2.7704522e-07,0.99999976,0.99999976,3.1748942e-07,0.99999964,0.99999976,0.99999976,3.1961508e-07,0.99999964,2.8900217e-07,0.99999976,3.4939262e-07,0.99999976,0.99999976,2.7645717e-07,2.7343472e-07,0.99999976,0.99999976,3.2058094e-07,3.5821654e-07,3.3952867e-07,0.99999976,0.99999976,2.7592353e-07,2.9797113e-07,2.7261115e-07,3.3553434e-07,0.99999964,0.99999976,0.99999976,2.543976e-07,3.0597897e-07,0.99999964,3.2599164e-07,3.0110107e-07,0.99999976,2.9117027e-07,0.99999964,3.3757595e-07,0.99999976,2.784228e-07,3.102484e-07,3.046431e-07,0.99999976,0.99999976,0.99999976,3.3758306e-07
3,1.5050317e-05,0.99998724,0.9999857,1.3479786e-05,0.9999864,0.99999046,1.6232954e-05,1.25664355e-05,0.9999856,1.1964789e-05,1.2633472e-05,0.9999858,0.99998534,1.29027085e-05,0.9999908,1.3386613e-05,0.999984,0.9999901,1.1916621e-05,1.2468429e-05,1.3857088e-05,1.4700211e-05,0.99998844,1.4343412e-05,1.1181301e-05,1.276301e-05,1.5107493e-05,0.99998367,1.2573531e-05,1.2187247e-05,1.2969919e-05,0.9999877,0.99999034,0.9999882,0.9999883,1.2877114e-05,1.5033104e-05,1.1591125e-05,0.99998534,0.9999881,1.4755929e-05,0.9999902,1.406092e-05,0.9999876,0.99999154,1.4545142e-05,1.3480363e-05,0.99998856,1.2838343e-05,1.2322018e-05,1.4596654e-05,0.99999034,0.9999896,1.2976673e-05,1.267327e-05,1.3344704e-05,1.3904982e-05,0.9999902,0.99999034,0.9999876,0.9999856,1.4704431e-05,0.9999862,0.99998856
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,1.5050317e-05,0.99998724,0.9999857,1.3479786e-05,0.9999864,0.99999046,1.6232954e-05,1.25664355e-05,0.9999856,1.1964789e-05,1.2633472e-05,0.9999858,0.99998534,1.29027085e-05,0.9999908,1.3386613e-05,0.999984,0.9999901,1.1916621e-05,1.2468429e-05,1.3857088e-05,1.4700211e-05,0.99998844,1.4343412e-05,1.1181301e-05,1.276301e-05,1.5107493e-05,0.99998367,1.2573531e-05,1.2187247e-05,1.2969919e-05,0.9999877,0.99999034,0.9999882,0.9999883,1.2877114e-05,1.5033104e-05,1.1591125e-05,0.99998534,0.9999881,1.4755929e-05,0.9999902,1.406092e-05,0.9999876,0.99999154,1.4545142e-05,1.3480363e-05,0.99998856,1.2838343e-05,1.2322018e-05,1.4596654e-05,0.99999034,0.9999896,1.2976673e-05,1.267327e-05,1.3344704e-05,1.3904982e-05,0.9999902,0.99999034,0.9999876,0.9999856,1.4704431e-05,0.9999862,0.99998856
5,0.003709661,0.9968887,0.99158573,0.0035574397,0.99926037,0.00034348268,0.9923528,0.9939831,0.0025578619,0.0061687,0.0051280353,0.9967073,0.0018178687,0.0046205726,0.004681196,0.0027328546,0.9951676,0.002408159,0.99460703,0.0066148443,0.0041069016,0.0029598286,0.00044275078,0.006544992,0.0024486086,0.9929529,0.9934029,0.99484324,0.00423932,0.0016710405,0.0036720396,0.0016344081,0.005424283,0.996792,0.997813,0.0052471454,0.004584582,0.99489826,0.99777454,0.9993674,0.0040248455,0.004537023,0.0054204976,0.99717987,0.9993419,0.99302906,0.0048196753,0.006649671,0.0033522758,0.0037426974,0.002638893,0.00029934593,0.0016516667,0.99280375,0.99427974,0.0023411,0.99408734,0.0005131669,0.00040581377,0.00041670434,0.0022325038,0.0051374394,0.99264854,0.0057799835
